Object ID,Is Public Domain,Department,AccessionYear,Object Name,Title,Culture,Artist Display Name,Artist Display Bio,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,City,Tags,Link Resource,Object Wikidata URL
649082,False,Drawings and Prints,1970.0,Print,"Birds in the Nest (in Parables from Nature, opp. p. 327)",,Horace Harral; Joseph Wolf,"British, Ipswich 1817–1905 Hastings|German, Moers 1820–1899 London",1865,1865,1865,Wood engraving,"Image: 5 1/16 × 3 3/4 in. (12.9 × 9.6 cm)
Sheet: 8 7/16 × 5 1/2 in. (21.5 × 14 cm)",London,,http://www.metmuseum.org/art/collection/search/649082,
395516,True,Drawings and Prints,2011.0,Print,Peasant of the Alps,,Matthew Darly; Mary Darly; Henry William Bunbury,"British, ca. 1720–1780 London|British, 1760–1781|British, Mildenhall, Suffolk 1750–1811 Keswick, Cumberland","April 2, 1771",1771,1771,Etching,"plate: 6 x 4 3/16 in. (15.3 x 10.7 cm)
sheet: 8 13/16 x 5 7/16 in. (22.4 x 13.8 cm)",London,"Men, Profiles",http://www.metmuseum.org/art/collection/search/395516,
349051,False,Drawings and Prints,1948.0,Book,Albrecht Dürers Christlich-Mythologische Handzeichnungen,,Johann Nepomuk Strixner; Alois Senefelder; Albrecht Dürer,"German, Altötting 1782–1855 Munich|German, Prague 1771–1834 Munich|German, Nuremberg 1471–1528 Nuremberg",1808,1808,1808,Lithograph,Overall: 14 9/16 x 10 1/4 x 13/16 in. (37 x 26 x 2 cm),Munich,,http://www.metmuseum.org/art/collection/search/349051,
17527,False,The American Wing,2002.0,Photograph album,Photograph Album,American,Tiffany Studios,1902–32,ca. 1902–20,1899,1923,"Paper, photographs",10 3/4 x 15 3/4 in. (27.3 x 40 cm),New York,,http://www.metmuseum.org/art/collection/search/17527,
503860,True,Musical Instruments,1889,Tenor Valve Trombone in B-flat,Tenor Valve Trombone in B-flat,Italian,Pietro Borsari,active late 19th century,ca. 1870,1865,1875,"Brass, nickel-silver","31 1/16 × 7 × 10 1/2 in. (78.8 × 17.8 × 26.7 cm)
Diameter (Of bell): 7 3/4 in. (19.7 cm)",Bologna,,http://www.metmuseum.org/art/collection/search/503860,https://www.wikidata.org/wiki/Q116241418
20488,False,The American Wing,2010.0,Pitcher,Pitcher,American,Robert R. Jarvie,"American, 1865–1941",1914,1914,1914,Silver,"9 1/2 x 7 3/4 in., 32.5 oz. (24.1 x 19.7 cm)",Chicago,,http://www.metmuseum.org/art/collection/search/20488,https://www.wikidata.org/wiki/Q116393972
433569,False,Drawings and Prints,1933.0,"Print collection ornament, architecture","Two satyrs, a child, and a goat amidst rinceaux, from Ornements de panneaux à la romaine, plate 9, bound in Oeuvres. Vol. IV",,Jean Le Pautre; Jean I Leblond,"French, Paris 1618–1682 Paris|French, ca. 1590–1666 Paris",published ca. 1651,1646,1656,Etching,"Sheet: 13 3/8 × 8 1/4 in. (34 × 21 cm)
Plate: 5 7/16 × 7 13/16 in. (13.8 × 19.8 cm)",Paris,,http://www.metmuseum.org/art/collection/search/433569,
16799,False,The American Wing,2000.0,Pin,Pin,American,Tiffany & Co.,1837–present,ca. 1875,1872,1878,Gold and enamel,5/8 x 1 1/2 in. (1.6 x 3.8 cm),New York,,http://www.metmuseum.org/art/collection/search/16799,https://www.wikidata.org/wiki/Q116393505
7868,True,The American Wing,1933.0,Spur,Spur,American,"Paul Revere, III",1760–1813,1800–1830,1800,1830,Silver,4 7/8 x 3 3/8 in. (12.4 x 8.6 cm),Boston,,http://www.metmuseum.org/art/collection/search/7868,https://www.wikidata.org/wiki/Q116348448
348137,False,Drawings and Prints,1958.0,Book,Nouveau Cayer de Paysages à l'usage des personnes qui apprennent le Dessin,,J. B. Crépy,,1781,1781,1781,"Etching, printed in red",Overall: 17 9/16 x 12 1/16 x 1/4 in. (44.6 x 30.6 x 0.6 cm),Paris,,http://www.metmuseum.org/art/collection/search/348137,
